id,source_domain,end_domain
106,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi_Award
107,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi_Institute
108,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermilab
109,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi_Gamma-ray_Space_Telescope
110,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi_Nuclear_Generating_Station
111,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermium
112,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/List_of_scientists_whose_names_are_used_in_chemical_element_names
113,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/w/index.php?title=Enrico_Fermi&action=edit&section=1
114,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Wet_nurse
115,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Roman_Catholic
116,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Agnosticism
117,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Electric_motor
118,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Abscess
119,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Milan
120,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Campo_de%27_Fiori
121,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Jesuit
122,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/w/index.php?title=Andrea_Caraffa&action=edit&redlink=1
123,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Collegio_Romano
124,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Mathematics
125,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Classical_mechanics
126,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Astronomy
127,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Optics
128,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Acoustics
129,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Enrico_Persico
130,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Gyroscope
131,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Gravity
132,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/w/index.php?title=Enrico_Fermi&action=edit&section=2
133,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Scuola_Normale_Superiore_di_Pisa
134,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Pisa
135,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Partial_differential_equation
136,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fourier_analysis
137,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Franco_Rasetti
138,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Luigi_Puccianti
139,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Tensor_calculus
140,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Gregorio_Ricci
141,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Tullio_Levi-Civita
142,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/General_relativity
143,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Quantum_mechanics
144,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Atomic_physics
145,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nello_Carrara
146,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/X-ray_crystallography
147,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nuovo_Cimento
148,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Mass
149,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Tensor
150,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Scalar_(physics)
151,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Speed_of_light
152,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Electrodynamic
153,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Physikalische_Zeitschrift
154,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/World_line
155,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/w/index.php?title=I_Rendiconti_dell%27Accademia_dei_Lincei&action=edit&redlink=1
156,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Principle_of_Equivalence
157,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi_coordinates
158,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Euclidean_space
159,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Light_cone
160,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Spacetime
161,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/X-ray_diffraction
162,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Theoretical_physics
163,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Experimental_physics
164,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/August_Kopff
165,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Mass%E2%80%93energy_equivalence
166,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nuclear_potential_energy
167,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Freemasonry
168,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Masonic_Lodge
169,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Grand_Orient_of_Italy
170,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Max_Born
171,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/University_of_G%C3%B6ttingen
172,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Werner_Heisenberg
173,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Pascual_Jordan
174,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Leiden
175,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Paul_Ehrenfest
176,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Rockefeller_Foundation
177,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Vito_Volterra
178,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Hendrik_Lorentz
179,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Albert_Einstein
180,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Samuel_Goudsmit
181,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Jan_Tinbergen
182,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Mathematical_physics
183,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Theoretical_mechanics
184,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/University_of_Florence
185,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Solid_state_physics
186,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Wolfgang_Pauli
187,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Pauli_exclusion_principle
188,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Physical_system
189,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Identical_particles
190,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Paul_Dirac
191,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_statistics
192,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi%E2%80%93Dirac_statistics
193,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermion
194,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Boson
195,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/w/index.php?title=Enrico_Fermi&action=edit&section=3
196,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Via_Panisperna_boys
197,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Oscar_D%27Agostino
